Student,X,Y,
1,1,-0.3,
2,-0.8,-0.5,
3,0.9,0.1,
4,0.9,0.2,
5,-0.3,-0.3,
6,-1,-0.6,
7,0.8,-0.5,
8,-0.6,-0.6,
9,-1,0,
10,-0.7,-0.4,
11,-0.8,-0.4,
12,-0.9,0.3,
13,0.7,-0.6,
14,-0.9,0.4,
15,-0.9,-0.3,
16,0.8,-0.4,
17,0.6,-0.7,
18,0.9,0.2,
19,0.1,0.6,
,,,La media evidenzia una leggera dispersione o presenza di posizioni alternative (media aritmetica)
,,,La mediana indica la prospettiva preferita dalla maggioranza
,,,"Risultato: distribuzione non simmetrica. La differenza tra media e mediana suggerisce che non esiste una singola prospettiva perfettamente condivisa, ma una zona preferita con variazioni individuali"
